MELANIN CONDITION COMPARISON — 808 nm
Fitzpatrick scale: fair = I-II  |  olive = III-IV  |  dark = V-VI
Epidermis: 0.2 mm physical (1 voxel at 1 mm/voxel resolution)

=== Cartilage ===

Fluence Rate (mW/cm²),Fair,Olive,Dark
OKS001,0.0087,0.0086,0.0083
OKS002,0.0209,0.0206,0.0197
OKS003,0.0154,0.0153,0.0147
OKS004,0.0186,0.0184,0.0177
OKS006,0.0215,0.0213,0.0205
OKS007,0.0107,0.0106,0.0102
OKS008,0.0075,0.0074,0.0071
OKS009,0.0087,0.0087,0.0084
Mean,0.0140,0.0138,0.0133
StDev,0.0054,0.0054,0.0052


=== Skin+Epidermis ===

Fluence Rate (mW/cm²),Fair,Olive,Dark
OKS001,0.4158,0.4119,0.3968
OKS002,0.5669,0.5597,0.5361
OKS003,0.5398,0.5322,0.5091
OKS004,0.6515,0.6439,0.6165
OKS006,0.6186,0.6108,0.5846
OKS007,0.5050,0.4987,0.4781
OKS008,0.4441,0.4391,0.4215
OKS009,0.5053,0.4992,0.4783
Mean,0.5309,0.5244,0.5026
StDev,0.0756,0.0744,0.0705

Dose @ 5 min (J/cm²),Fair,Olive,Dark
OKS001,0.1247,0.1236,0.1190
OKS002,0.1701,0.1679,0.1608
OKS003,0.1619,0.1596,0.1527
OKS004,0.1954,0.1932,0.1849
OKS006,0.1856,0.1832,0.1754
OKS007,0.1515,0.1496,0.1434
OKS008,0.1332,0.1317,0.1264
OKS009,0.1516,0.1498,0.1435
Mean,0.1593,0.1573,0.1508
StDev,0.0227,0.0223,0.0212

Dose @ 10 min (J/cm²),Fair,Olive,Dark
OKS001,0.2495,0.2471,0.2381
OKS002,0.3401,0.3358,0.3217
OKS003,0.3239,0.3193,0.3054
OKS004,0.3909,0.3863,0.3699
OKS006,0.3712,0.3665,0.3507
OKS007,0.3030,0.2992,0.2869
OKS008,0.2665,0.2635,0.2529
OKS009,0.3032,0.2995,0.2870
Mean,0.3185,0.3147,0.3016
StDev,0.0454,0.0446,0.0423

Dose @ 15 min (J/cm²),Fair,Olive,Dark
OKS001,0.3742,0.3707,0.3571
OKS002,0.5102,0.5038,0.4825
OKS003,0.4858,0.4789,0.4582
OKS004,0.5863,0.5795,0.5548
OKS006,0.5567,0.5497,0.5261
OKS007,0.4545,0.4488,0.4303
OKS008,0.3997,0.3952,0.3793
OKS009,0.4548,0.4493,0.4305
Mean,0.4778,0.4720,0.4524
StDev,0.0680,0.0670,0.0635


